"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Netherlands","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.5","","","","",""
"Nigeria","Mil. USD","","","7.09795526152984","2","8.58691682706075","2","9.06831431511894","2","7.66367295839962","2","7.21142802826691","2","6.51932797662527","2","5.98833163468869","2","5.62492479048709","2","5.45341086979056","2","5.51928150463535","2","","","","","","","","","","","","","","","","","","","","","",""
"Nigeria","Thousand units","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","Mil. USD","","","","","","","","","","","","","","","","","","","8.42447768574608","","10.3996895615056","","6.3929313929314","","","","","","","","","","","","","","","","","","","","0","3"
"Norway","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Peru","Thousand units","161","","81","","101","","118","","42","","51","","68","7","64","","46","7","76.103","","88.11","","92.08","","","","","","","","","","","","","","","","","","","","",""
"Poland","Mil. USD","","","","","","","","","","","","","","","","","","","","","33.9671043481397","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Thousand units","585","","584","","705","","714","","726","","172.2","8","152.3","","101.4","","214.5","","272.9","","329","","250.9","","","","","","","","","","","","","","","","","","","","",""
"Portugal","Mil. USD","62.8817763964096","","69.0580002181051","","66.0049149810671","","76.293509850238","","73.2241772315639","","56.5539145676599","","50.4828556344015","","72.028952945033","","89.0628363654148","","96.5751764727794","","44.4646097597374","","56.181968263659","","88.6141431284324","","86.7954825694138","","69.1346559268414","","69.8287418001436","","85.3225594517079","","79.5297330403234","","70.1604604483199","","66.7609008493971","","55.6167754255627","","68.3946896364408",""
"Portugal","Thousand units","239","","265","","333","","403","","430","","424","","417","","440","","452","","423","","188.501","","232.796","","334.078","","311.542","","256.966","","267.826","","288.638","","271.859","","223.533","","213.18","","215.4","","251.568",""
"Republic of Korea","Thousand units","3975","","4292","","4257","","3790","","4735","","6304","","6448","","8254","","7267","","7122","","6959.558","","6578.981","","","","","","","","","","","","","","","","","","","","",""
"Republic of Moldova","Thousand units","24","","1","","2","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","Mil. USD","","","","","","","","","","","","","","","29.6970875889377","","50.0309173537155","","36.1484083727962","","32.2608747929789","","66.833077210616","","82.1113503537373","","","","","","","","","","","","","","","","","","",""
"Romania","Thousand units","435","4","446","4","429","4","366","4","323","4","341","4","313","4","212","","319","","260","","251","","424","","442","","","","","","","","","","","","","","","","","","",""
"Russian Federation","Thousand units","1789","9","1064","9","1186","9","1043","9","1173","9","1327","9","1719","9","1938","9","2218","9","2589","9","2778","9","2995","9","3539","9","3728","9","2750","9","1385","","1461","","1583","","1626","","1372","","1171","","1290",""
"Serbia and Montenegro","Thousand units","50","","51","","81","","48","","5","8","20","","0","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","Mil. USD","","","","","","","","","","","","","6.51434361956234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","Thousand units","330","","393","","258","","228","","206","","177","","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Africa","Thousand units","365","10","411","10","388","","399","","440","","508","","662","","702","","711","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.8489953323041","","45.1089471756543","","","","",""
"Spain","Thousand units","1269","","1260","","1960","","2415","","2107","","2153","","","","","","","","","","","","","","","","","","","","","","","","","","89","","110","","","","",""
"Sudan (former)","Thousand units","","","","","","","","","","","","","","","","","","","47","","47","","48","","95.5","","95.5","","96","","89","","","","","","","","","","","","",""
"Sweden","Mil. USD","","","164.778896172768","","149.707379702818","","255.727511120782","","184.086316835426","","161.205046834869","","123.24361113462","","204.064376302789","","253.391408209251","","271.469692007769","","265.218328968412","","287.301221755522","","293.79324936342","","203.970986629822","","151.843148458672","","87.7476072747588","","112.955282390216","","92.8505579458903","","78.5556072637428","","61.8929175014229","","48.7902508355489","","45.6595866014173",""
"Sweden","Thousand units","610","","377","","428","","368","","549","","575","","593","","627","","655","","639","","625","","631.8439","","565.1707","","406.6942","","311.8395","","190.492","","193.4252","","173.9369","","146.6142","","119.146","","114.684","","102.147",""
"Syrian Arab Republic","Thousand units","156","","155","","138.193","","149.175","","138.761","","120.026","","132.81","","135.16","","119.403","","143.383","","181.58","","192.127","","225.683","","247.615","","221.7","11,12","","","","","","","","","","","","","",""
"Tajikistan","Thousand units","0.05","","0.9","","1.5","","0.9","","1.6","","1.7","","1.7","","1.4","","0.6","","1.87","","0","","0.54","","0","","0","","0","","0","","","","","","","","","","","","",""
"Thailand","Thousand units","","","2246","","2384","","1631","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"The former Yugoslav Republic of Macedonia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"The former Yugoslav Republic of Macedonia","Thousand units","51","","20","","12","","4","","","","","","9","","1","","","","","","","","","","0","","0","","0","","0.058","","0.047","","0","","0","","0","","0","","0",""
"Trinidad and Tobago","Thousand units","1","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Turkey","Mil. USD","","","","","","","","","","","","","","","","","","","","","1146.56100575047","","","","","","1500.39756983841","","","","1630.14957981364","","1847.3255661407","","1951.52186772787","","1958.49965334173","","1822.31067499465","","1725.97255842133","","1571.12195180769",""
"Turkey","Thousand units","1680","","1612","","1945","","1993","","2083","","2405","","2245","","3017","","4011","","4867","","4507.244","8","","","","","5013.817","","","","6084.638","","6778.009","","7574.625","","7167.612","","6601.425","","6865.201","","6787.136",""
"Ukraine","Thousand units","562","","431","","404","","407","","427","","474","","548","","635","","340","","313","","313","","437","","439","","350","","249","","264","","221","","184","","159","","113","","","","",""
"United Kingdom","Mil. USD","125.302184998671","14","127.933448645575","14","138.171267288514","14","118.412067184418","14","113.743582922377","14","102.582595001746","14","109.118915144928","14","99.3670285311765","14","97.4737641281853","14","112.783331502435","14","136.733141615581","","","","","","","","","","","","","","","","0","","","","","","",""
