"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Gabon","Thousand hectolitres","816.419","","","","801","","847","","778","","812","","867","","792","","754","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Georgia","Mil. USD","","","","","","","","","","","","","","","","","","","18.1566796233011","","24.2183513315956","","39.1477730140603","","45.4357250110994","","50.6442326504373","","47.5310465751733","","59.6967472566519","","60.1246813943729","","79.0306374807705","","77.0733760182764","","85.9731923568108","","51.6449337287033","","52.0550549810392",""
"Georgia","Thousand hectolitres","65","","48","","79","","97","","126","","234","","257","","273","","284","","476.2","","586.4","","733.7","","708.7","","624.6","","685.4","","827.9","","787.3","","990.3","","1009","","1190","","860.6","","1023.7",""
"Germany","Mil. USD","10021.504370322","","9468.02879767614","","8258.88802523159","","7873.55334098369","","7625.86766488446","","6420.82701180196","","6270.34805269572","","6519.6955426481","","7727.95775219353","","8087.79803939829","","7746.01715539969","","7867.82589692955","","8236.21305503755","","8816.8355673645","","7968.63393406637","","7444.23164235084","","7956.23865597174","","7454.68910741691","","7409.14169854733","","7700.35680925137","","6185.98530383154","","6132.9721028274",""
"Germany","Thousand hectolitres","111875.418","","108937.528","","108729.476","","106992.976","","107479.337","","106877.399","","106371.955","","102132.59","","98933.419","","97748.24","","94806.253","","96936.555","","94780.681","","91123.228","","88004.566","","86738.027","","87084.125","","86083.143","","83837.937","","84279.601","","83595.819","","83138.54",""
"Greece","Mil. USD","388.115937924026","","426.194767955508","","373.473968080709","","381.823644747275","","392.283108549178","","327.696966640808","","326.215236942014","","385.557654137601","","452.746082590871","","451.454020226854","","","","","","","","","","","","","","","","","","407.129297933727","","458.604226989353","","367.946745922767","","430.853913676682",""
"Greece","Thousand hectolitres","4039.76394","","3769.34803","","3797.34551","","4138.87727","","4342.42078","","4422.52449","","4494.02855","","4548.07586","","4090.21585","","3889.90008","","","","","","","","","","","","","","","","","","3257.5347","","3664.46445","","3627.52688","","4237.19022",""
"Guatemala","Thousand hectolitres","1471","","1655","","1303","","1363","","1443","","1406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guyana","Thousand hectolitres","97","","112","","136.01","","136.96","","136.07","","129.78","","119.52","","130.59","","104.98","","121","","90","","90","","87","","82.42677639","","85.66041438","","","","","","","","","","","","","","",""
"Hungary","Mil. USD","","","","","","","","","","","","","","","448.034020112193","","549.979195149497","","531.734725333444","","560.194405822154","","641.423071438757","","835.797432278503","","716.545299608786","","494.826407479098","","539.245710988125","","568.854314324008","","525.361209786024","","525.39842195847","","490.073874436257","","419.421298989555","","434.539469840811",""
"Hungary","Thousand hectolitres","7697","","7270","","6973","","7163","","6996","","7194","","7142","","7237","","7255","","6467","","6770","","7157","","7186","","7027","","6285","","5944","","6260","","6118","","6013","","6047","","5983","","6220",""
"Iceland","Thousand hectolitres","52","","63","","64","","71","","77","","88","","123","","103","","108","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"India","Mil. USD","","","","","","","","","","","","","","","","","240.989617280633","","270.114377385998","","324.031203645807","","","","","","","","","","","","1069.5478062624","","1763.1854375917","","1554.78371853079","","1322.53529647367","","1399.23008968137","","",""
"India","Thousand hectolitres","3700","13","4255","13","4331","13","4332","13","3632","13","3025.07","","2351.78","","2696.12","","3609.38","","2704.46","","2955.15","","3721.94","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.7428856022687","","","","","","","","",""
"Indonesia","Thousand hectolitres","1136","","","","531","","502","","401","","","","437","","237","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","Thousand hectolitres","","","","","130","14","155","14","127","14","145","14","","","","","","","351.68","","518.27","","663","","1017","","1546","","","","","","","","","","","","","","","","",""
"Ireland","Mil. USD","814.526429273972","","891.398806122828","","1098.0995975037","","1364.2438925721","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Thousand hectolitres","9254.68689","","10764.99407","","12095.07998","","12583.89194","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Mil. USD","","","","","","","","","","","","","","","","","1582.52023765073","","1753.55522030384","","","","","","","","","","","","","","","","","","","","","","","","1875.74237712586","4"
"Italy","Thousand hectolitres","10616","","9559","","10379","","11073","","11123","","11173","","11375","","11208","","13994.40728","","13692.43572","","","","","","","","","","","","","","","","","","","","","","","","10888.80702","4"
"Jamaica","Thousand hectolitres","662","","690","","674","","670","","656","","697","","784","","774","","585","","590","","633","","669","","660","","666","","","","","","","","","","","","","","","","",""
"Japan","Thousand hectolitres","70568","15","67439","15","66971","15","63297","15","58573","15","55081","15","51855","15","46215","15","41323","15","37833","15","36169","15","34079","15","33048","15","32147","15","29859","15","28437","15","27645","15","26904","15","26846","15","26646","15","25955","15","26659","15"
"Jordan","Mil. USD","","","","","","","","","","","","","","","","","","","17.2665726375176","","18.9689703808181","","19.3836389280677","","20.1791321699071","","","","","","","","","","","","","","","","","","",""
"Kazakhstan","Thousand hectolitres","812","","636","","693","","850.3","","824.41","","1356.78","","1731.89","","2020","","2348","","2780","","3234.709","","3638.388","","4109.602","","3611.632","","3615.34","","4951.736","","4257.946","","4811.474","","4605.723","","4900.073","","4748.441","","5061.718",""
"Kenya","Mil. USD","281.081991969642","","322.770603800761","","307.618482364975","","49.2987027616219","","53.4224671548519","","53.1272887787146","","130.977361600429","","130.668090879721","","235.383761928287","","183.318042787604","","285.980473555707","","351.908545770852","","506.171947641569","","999.928879024498","","516.776471777078","","988.044606194361","","536.609478837225","","429.086368799068","","499.432909691086","","279.513139065907","","184.144273889021","","172.687147226701",""
"Kenya","Thousand hectolitres","3474","","2759","","2704","","2630","","1885","","2029","","1843","","1919","","2223","","2446.5","","2662.6","","3115.6","","3934.2","","4248.6","","3968.2","","3986.2","","4537.9","","4996","","4301.26","","3670.985","","4731.35","","5287.7",""
"Kyrgyzstan","Thousand hectolitres","121.43","","142.8","","144.95","","128.7","","121.75","","124.47","","87.11","","70.983","","77.315","","116.01","","122.609","","109.644","","140.312","","154.066","","151.612","","180.022","","211.835","","218.795","","239.115","","270.658","","263.308","","240.437",""
"Lao People's Democratic Republic","Thousand hectolitres","151.3","","","","","","","","","","480","","576","","652","","702","","827","","927","","1058.8","","","","1362.5","","","","","","","","","","","","","","","","",""
"Latvia","Mil. USD","","","","","","","","","","","","","","","","","","","","","68.5848360534845","","77.36894228392","","97.4272321835985","","112.750459302232","","97.3377509466258","","94.6333003123098","","107.113586419172","","94.8594249684207","","99.3732378729397","","74.2706503158037","","61.7605672952874","","56.0922561849831",""
"Latvia","Thousand hectolitres","653","","645","","715","","721","","946.03","","931.48","","989.11","","1198.9","","1363.87","","1313.05","","1284.92","","1408.1","","1402.2","","1338.505","","1283.3521","","1474.7","","1472","","1373.44","","1322.002","","967.27338","","885.65859","","736.92968","4"
"Lesotho","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.7578607401312","","",""
"Lesotho","Thousand hectolitres","","","","","","","","","","","349","","288","","333","","358","","325","","285","","295","","317","","236","","283","","353","","","","","","","","","","","","",""
"Lithuania","Mil. USD","","","","","65.325","","76.5","","91.475","","96.975","","103.125","","142.645075753283","","153.453270315597","","161.692205795529","","180.603995998594","","192.789470337636","","250.898968786219","","318.742509254054","","291.296252063177","","238.110717483054","","258.613469304303","","232.997779522086","","258.784253575861","","276.538461538462","","230.443747900897","","231.075091586485","4"
"Lithuania","Thousand hectolitres","1093","","1139","","1405.8","","1557.2","","1852","","2065","","2174.3","","2683.3","","2520","","2782.4","","2915.8","","2957.8","","2878.3","","2983","","2818.3423","","2970.84831","","3127.18136","","2935.8104","","2968.45759","","3161.52258","","3183.84699","","3114.1369","4"
"Luxembourg","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Luxembourg","Thousand hectolitres","518","","483.453","","480.546","","468.519","","449.597","","438.423","","396.676","","386.021","","390.694","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Madagascar","Mil. USD","","","","","","","","","","","","","","","","","","","5.15833779758708","","","","","","","","","","","","","","","","","","","","","","","","",""
"Madagascar","Thousand hectolitres","246.122","","346.75","","233.52","","297.407","","446","","467","","502","","439","","","","91.9","","92.646853088","","103.237628514","","","","","","","","","","","","","","","","","","","","",""
"Malawi","Thousand hectolitres","289","","277","","780","","678","","684","","739","","1033","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mali","Thousand hectolitres","52","","60","","64.7","","66.1","","61.7","","73.8","","71.1","","74.8","","78.2","","77.7","","149.4","","101.3","","108.211","","74.36","","40.861","","","","","","","","","","","","","","",""
"Malta","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Malta","Thousand hectolitres","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Mauritius","Thousand hectolitres","309","","312","","340","","376","","358","","375","","328","","348","","378","","364","","389","","359","","338","","361","","352","","368","","374","","346","","336","","339","","353","","367",""
