"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Latvia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Latvia","Thousand units","64","","185","","88","","362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Lithuania","Mil. USD","","","","","0","","0","","","","","","","","","","0.196022912900486","","0.107890706714098","","0.0360487017961266","","0.10900271598434","","1.62458271008133","","16.5459308677068","","23.5950940003489","","21.5279447499681","","28.1856022238434","","3.61092580502354","","0","","0","","0","","0","4"
"Lithuania","Thousand units","1","","0","","0","","0","","1","","1","","0","","0","","2.8","","1.5","","0.5","","26.6","","111.8","","378.6","","579.666","","619.196","","341.379","","46.499","","0","","0","","0","","0","4"
"Luxembourg","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Luxembourg","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Malta","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Malta","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Mexico","Mil. USD","0","","0","","0","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0",""
"Mexico","Thousand units","0","","0","","0","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0",""
"Montenegro","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Montenegro","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Netherlands","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Netherlands","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Poland","Mil. USD","","","","","","","","","","","12.0568558987132","","15.6330149734972","","","","","","","","","","","","","","","","","","6.76549597055019","","8.80909265600844","","12.6514577207608","","12.5608399191549","","14.8674530092996","","8.78100543838706","","9.66322437277078",""
"Poland","Thousand units","409","","626","","653","","691","","505","","293","","455","","762.3","","800.6","","807.1","","654.2","","667","","","","","","","","32","","37.5","","67.9","","115.3","","130.4","","191.2","","432.4",""
"Portugal","Mil. USD","","","","","3.75997254691189","","3.33942831405415","","0","","0","","0.0301285894533382","","0","","0","","0","","0","","5.06937523586903","","4.66567483875383","","4.56215815339564","","2.6194351512273","","2.26134748070336","","0.410367492317781","","0","","0","","0","","0","","0","4"
"Portugal","Thousand units","","","","","197.651","","179","","13","","","","1.5","","0","","0","","0","","0","","128.801","","107.265","","183.467","","73.971","","48.055","","41.2","","0","","0","","0","","0","","0","4"
"Republic of Korea","Thousand units","9986","","10980","","7994","","4953","","5402","","6895","","5359","","4506","","2766","","2086","","2346.412","","1204.831","","934.168","","","","","","","","","","","","","","","","","","",""
"Republic of Moldova","Thousand units","4","","4","","1","","1","","","","3","","2","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Romania","Mil. USD","","","","","","","","","","","","","","","33.9121288090943","","29.8996350032888","","46.4478980914099","","19.476237133921","","23.3073650609058","","62.8602481287809","","","","","","","","","","","","","","","","","","",""
"Romania","Thousand units","129","","165","","202","","136","","55","","473","","544","","388","","303","","314","","192","","226","","208","","","","","","","","","","","","","","","","","","",""
"Russian Federation","Thousand units","1026","","712","","723","","518","","685","","902","","1113","","832","","601","","642","","478","","408.5","","254","","272","","171","","2041","","907","","692","","1885","","711","","290.2","","253.8",""
"Serbia","Thousand units","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"Serbia and Montenegro","Thousand units","2","","26","","0","","0","","12.239","2","5.532","","5.644","","4.667","","7.067","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","Thousand units","","","","","","","479","","295","","144","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovenia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","0","","0","4"
"Slovenia","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","0","","0","4"
"Spain","Mil. USD","","","","","","","","","","","","","","","","","","","91.88380423783","","84.5644928617619","","119.175929807468","","134.129441754632","","109.861986631649","","84.7406580483942","","","","","","","","","","","","","","",""
"Spain","Thousand units","4115","","4847","","5695","","6337","","4520","","4870","","1790","","3745","","2197","","3229","","2688","","3192","","3210","","2428","","2037","","","","","","","","","","","","","","",""
"Sweden","Mil. USD","","","116.761878464504","","66.2746580311689","","53.4600060139362","","76.3698000809689","","44.4214313214567","","25.6555828363506","","21.7723441249075","","13.1085843192682","","3.94617597404777","","","","","","","","34.9808118752069","","23.28327807588","","15.7568670425316","","1.13990156548561","","5.06020957813347","","5.77036590294399","","8.55893312499954","","22.6878021516781","","17.4429041522682",""
"Sweden","Thousand units","","","","","1002","","202","","1307","","732","","739","","241","","66","","94","","","","","","","","177.4613","","141.8194","","63.921","","9.736","","23.88","","26.182","","38.657","","127.579","","96.35",""
"Syrian Arab Republic","Thousand units","40","","24","","9","","3","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","","","","","","","","","","","","","","","",""
"The former Yugoslav Republic of Macedonia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"The former Yugoslav Republic of Macedonia","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4"
"Turkey","Mil. USD","","","","","","","","","","","","","","","","","","","","","13.2481570284702","","13.3010988125927","","","","16.7496246530507","","13.4842208992323","","","","24.567235811544","","","","32.7737046051638","","34.2854542744348","","37.0304210310917","","37.4155491157575",""
"Turkey","Thousand units","587","","794","","835","","496","","323","","316","","555","","733","","485","","402","","1335","2","1049","","","","844","","678","","","","1100.641","","","","1003.387","","1154.327","","1631.12","","1372",""
