"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Iraq","Mil. USD","","","","","","","","","","","","","","","","","","","0.00412938747419133","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iraq","Thousand metric tons","","","","","","","","","","","","","","","","","","","0.021","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Mil. USD","","","4.83752523875763","","3.1072776997732","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","Thousand metric tons","","","6.11418","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Israel","Thousand metric tons","44.961","","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Mil. USD","","","","","","","","","","","","","","","","","71.0175773883813","","91.512544001788","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","Thousand metric tons","922","","876","","855","","772","","810","","833","","828","","","","526.418","","579.798","","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","Mil. USD","","","","","1226.52237477851","","1027.03251369739","","1083.44712153062","","1152.22405983709","","1000.10740239481","","887.341555751905","","953.038027408204","","1027.76929003973","","1066.61139046183","","1012.56833176728","","1003.29901648029","","1270.43965637381","","1375.01204984759","","1412.87510377521","","1451.91484356433","","1278.38593346239","","1095.12043756461","","1083.5644655304","","1084.29143231974","","1071.54051413282",""
"Japan","Thousand metric tons","3885","","3940","","4259","","3877.493","","3649.23","","3866.953","","3688.847","","3565.119","","3775.316","","3904.571","","3887.517","","3842.364","","3862.869","","3963.458","","3344.911","","3364.613","","3182.141","","2535.861","","2673.365","","2662.761","","3394.715","","3328.585",""
"Jordan","Mil. USD","","","","","","","","","","","","","","","","","","","14.0070521861777","","15.0789844851904","","13.5980253878702","","15.1100190771102","","","","","","","","","","","","","","","","","","",""
"Kazakhstan","Thousand metric tons","1","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","1.288","","17.881","","27.266","","33.207","","35.346","","35.74",""
"Kuwait","Thousand metric tons","18","","17","","20","","22","","21","","19","","20","","57","","63","","33","","32","","31","","36","","37","10","37","","36","","40","","44","","26","","24","","29","","28",""
"Latvia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
