"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Italy","Mil. USD","","","","","","","","","","","","","","","","","1353.10921982881","","1226.78040391624","","","","","","","","","","","","","","","","","","","","","","","","1261.94432568554","3"
"Italy","Thousand units","494","5","636","5","471","5","408","5","656","5","710","5","630","5","700","5","1989.872","","1252.768","","","","","","","","","","","","","","","","","","","","","","","","4211.497","3"
"Japan","Mil. USD","","","","","9997.83764662393","","8274.4166545107","","8575.50170071051","","9403.91883926861","","8687.52689559827","","7480.69078875244","","8047.26233884279","","8315.26607538194","","8720.74574124749","","8713.29318701755","","9555.80701455973","","11225.9837529427","","9735.02332730076","","12000.1651859267","","10096.9310575647","","11524.1347802868","","10034.9648463891","","10897.4126814232","","9320.94742780849","","10854.9179220335",""
"Japan","Thousand units","29259","","30350","","27957","","9131","","9944","","10036","","11607","","10518","","9412","","9480","","10552","","10400","","10223","","9084","","7276","","7863","","5179","","7173","","7677","","8110","","7378","","7917",""
"Jordan","Mil. USD","","","","","","","","","","","","","","","","","","","38.4767277856135","","55.0070521861777","","54.064880112835","","64.5909944587194","","","","","","","","","","","","","","","","","","",""
"Kazakhstan","Thousand units","","","","","","","","","0.018","","0.009","","","","0.017","","0.011","","0.034","","0","","","","","","","","0","","0","","0.004","","0.006","","0.003","","0.366","","0.045","","0.028",""
"Kyrgyzstan","Thousand units","","","","","","","","","","","","","","","0.012","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0",""
"Lithuania","Mil. USD","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","","4.34339488958933","","5.04373495527445","","7.34002948569732","","4.082875967848","","4.59396342243254","","21.0197083019747","","15.4860323184515","","28.3736115196829","","67.7307692307692","","64.9236809607934","","74.4440098792267","3"
"Lithuania","Thousand units","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","","5.967","","5.308","","6.713","","3.515","","4.503","","47.848","","34.336","","25.774","","38.178","","42.481","","47.333","3"
"Luxembourg","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Luxembourg","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Malta","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Malta","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Mexico","Mil. USD","192.026544433497","","295.968848879504","","312.156656723656","","350.085965839637","","340.236899145668","","385.286608317682","","352.716708248557","","415.225486853972","","378.959378683094","","370.867655702213","","498.527620403639","","575.902451928993","","213.603501036691","","207.983731242035","","135.190985294308","","152.484863033619","","395.208220345749","","453.837950151703","","518.196391839645","","555.360373745999","","399.557890579084","","273.756109719573",""
"Mexico","Thousand units","1302.4","","1574.5","","1659.9","","1615","","1721.3","","1826.7","","1191.9","","1729.7","","1916.1","","1782.9","","2253.9","","1962.1","","794.3","","696.6","","489","","966.3","","1097.8","","1316.3","","1733.5","","2320","","1396","","723.5",""
"Montenegro","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Montenegro","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"Nepal","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","0.00963637333433311","","","","","","","","","","","","","","","","","","",""
"Netherlands","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161.255518661459","","131.055939223134","","124.807613379133","","141.185697724836","","83.204407832415","","146.575056539175",""
"Netherlands","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","5","","5","","7.625","","5.069","","12.177",""
"Nigeria","Mil. USD","","","5.71921056646174","","6.68344914329625","","6.97045185005461","","6.00163962654636","","5.60072699382483","","5.05937854694611","","4.66231204532","","4.37105500712532","","4.23858357440409","","4.08627479857704","","","","","","","","","","","","","","","","","","","","","","",""
"Nigeria","Thousand units","16","","","","","","","","","","","","19.149","","19.264","","19.123","","19.179","","19.189","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","Mil. USD","","","","","","","","","","","","","","","13.2114130666571","","22.4319406421178","","12.6733588824329","","22.8172293364377","","26.3513513513514","","","","","","","","","","","","","","","","","","","","",""
"Oman","Thousand units","","","","","4.535","","5.562","","4.094","","2.853","","3.273","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pakistan","Thousand units","51","","80","","56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Poland","Mil. USD","","","","","","","","","","","","","","","","","49.7547617364026","","58.6990251004176","","60.0837587377466","","13.9857510761885","","37.2116548348055","","88.2984795807171","","86.2757941012293","","90.1720890127019","","123.52345981445","","120.143769852242","","122.860707549385","","123.543842858995","","102.197002254941","","99.7011417568554",""
"Poland","Thousand units","","","","","","","","","","","","","","","","","33.5","","36.3","","35.9","","7.2","","35.2","","36.7","","59.208","","85.703","","106.014","","118.081","","173.129","","292.168","","247.428","","180.5",""
"Portugal","Mil. USD","1.8883758187228","","1.74542057377895","","","","26.8193049958557","","44.3998635805678","","45.0672567200598","","42.9850757487629","","31.895965215809","","32.9025020667939","","32.2834987862646","","40.2450305924489","","35.8887498967665","","40.2933972044961","","25.724589926738","","18.7904171318999","","17.4824028227894","","20.8520067234645","","19.5299046685455","","112.725174211579","","138.11298238193","","150.472343444638","","162.346795444435",""
"Portugal","Thousand units","","","","","","","263","","565","","914","","721","","616","","369","","315","","410.362","","345.913","","356.95","","178.767","","82.792","","55.2","","54.1","","71.7","","847.6","","1189.3","","1490.685","","1453.216",""
"Republic of Korea","Thousand units","4115","5","5009","5","5111.066","5","3997.549","5","6408.883","5","9367.191","5","9339.328","5","10169.91","5","3953.646","","4038.437","","4657.281","","5019.213","","6227.555","","5259.199","","4579.639","","5237.932","","6210.089","","5794.922","","5179.273","","4481.152","","4593.667","","",""
"Republic of Moldova","Thousand units","","","","","","","","","","","","","","","","","","","0.002","","0","","0.016","","0.041","","0.045","","0.002","","0.02","","0.02","","0.8","","0.094","","0.085","","0.084","","0.066",""
"Romania","Mil. USD","","","","","","","","","","","","","","","0.012705930614123","","2.09216421099503","","","","0.168173757125862","","0.0697761349005276","","0.0803855224033631","","","","","","","","","","","","","","","","","","",""
"Romania","Thousand units","","","","","","","","","","","","","","","","","","","","","3","","1","","1","","","","","","","","","","","","","","","","","","",""
"Russian Federation","Thousand units","0.4","","0.1","","0.3","","0.2","","0.1","","0.4","","0.7","","2.2","","5.3","","3.4","","4.1","","5.2","","7.6","","8.3","","48","","93","","102","","98.3","","68.6","","80.1","","118","","102",""
"Saudi Arabia","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145","","148",""
"Serbia and Montenegro","Thousand units","1","","0","","0.1","","0.1","","0","6","0","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Slovakia","Mil. USD","","","","","","","","","","","","","5.0253507922338","","3.66229654674116","","4.78613109738825","","7.28525923380773","","9.18813924060835","","9.79888710234113","","73.4986434134688","","127.940952730195","","9.56319163942862","","37.0838847756139","","82.0178931122936","","89.9403504472491","","80.3774307567295","","72.5325335909712","","69.2612202971704","","65.9609324384572",""
"Slovakia","Thousand units","","","","","","","","","","","","","3","","1","","1","","2","","1.85","","1.793","","318.17","","720.857","","2.955","","12","","23","","27","","23","","23","","26","","20.955",""
"Slovenia","Mil. USD","","","","","","","","","4.0329097937718","","3.68302567132092","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4965862225856","","11.8103817753418",""
"Slovenia","Thousand units","3","","","","3","","2","","2","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.184",""
"South Africa","Thousand units","18","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spain","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","867.177281145819","","594.573797454307","","648.967983573244","","718.699165068742","","561.484759220683","","598.810996106265","","656.733201527908","","581.150991764889","","544.226639830305",""
"Spain","Thousand units","131","","118","","134","","183","","311","","340","","339","","245","","","","","","","","","","","","2654","","1823","","2198","","2286","","1876","","2316","","2592","","2834","","2666",""
"Sri Lanka","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","0.334459079406206","","0.516929769175398","","","","1.0790302672382","","","","","","","","","","","","",""
"Sudan","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.9764487515125","","0.531772239465269","","","","","","","","",""
"Sudan","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17000","","1500","","","","","","","","",""
"Sudan (former)","Thousand units","","","","","","","","","","","","","","","","","","","4.5","","5","","5.5","","5.5","","10","","12","","","","","","","","","","","","","","",""
"Sweden","Mil. USD","","","","","","","","","","","","","","","","","","","","","257.590960274568","","218.688467081","","294.527406613925","","352.109555829016","","298.132076328343","","336.107093640222","","386.874152173452","","390.196726612265","","391.884418676886","","406.243600404327","","348.618552290351","","368.322245880551",""
"Sweden","Thousand units","","","","","","","","","","","","","","","","","","","","","52","","408.461","","426.0519","","473.7305","","1342.9865","","1188.4606","","1423.3615","","1351.285","","1320.2411","","1238.7217","","1248.533","","1320.353",""
"Thailand","Thousand units","","","1765","","1188","","1261","","1465","","1519","","1925","","1633","","1389","","1762","","2023","","1681","","2380","","2798","","","","","","","","","","","","","","","","",""
"The former Yugoslav Republic of Macedonia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
"The former Yugoslav Republic of Macedonia","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3"
