"Country or Area","Unit","1995","1995 Footnotes","1996","1996 Footnotes","1997","1997 Footnotes","1998","1998 Footnotes","1999","1999 Footnotes","2000","2000 Footnotes","2001","2001 Footnotes","2002","2002 Footnotes","2003","2003 Footnotes","2004","2004 Footnotes","2005","2005 Footnotes","2006","2006 Footnotes","2007","2007 Footnotes","2008","2008 Footnotes","2009","2009 Footnotes","2010","2010 Footnotes","2011","2011 Footnotes","2012","2012 Footnotes","2013","2013 Footnotes","2014","2014 Footnotes","2015","2015 Footnotes","2016","2016 Footnotes"
"Slovenia","Thousand units","56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","","0","","0","","0","","0","6"
"Spain","Mil. USD","","","","","","","","","","","","","","","","","","","466.869059370596","","609.36178679799","","673.65762428011","","622.743836717935","","610.83264567197","","340.351823309124","","316.53744504899","","255.784615807831","","","","88.9586180468288","","90.2178943513086","","","","44.2460682788866",""
"Spain","Thousand units","19","","11","","38","","57","","68","","89","","117","","74","","88","","119.48","","196.743","","192.659","","153.556","","133.452","","78.292","","82.05","","65.099","","","","21.492","","21.523","","","","11.489",""
"Sri Lanka","Mil. USD","","","","","","","","","","","","","","","","","0.0214461210973186","","","","","","","","0.985298369061526","","0.415389993087373","","0.139197269645556","","0.141512166195174","","","","","","","","","","","","",""
"Sweden","Mil. USD","","","6.71045278531634","","5.63203615679894","","6.03783597333867","","3.38883423497168","","6.87604465172425","","6.87375992973922","","17.2535557216248","","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","","","",""
"Sweden","Thousand units","","","1.126","","1.098","","1.206","","0.735","","1.613","","1.812","","","","","","","","0","","0","","0","","0","","0","","0","","0","","0","","0","","0","","","","",""
"Thailand","Thousand units","","","1409","","1056","","573","","735","","928","","1051","","1526","","1908","","2279","","2510","","2340","","1915","","2165","","","","","","","","","","","","","","","","",""
"The former Yugoslav Republic of Macedonia","Mil. USD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"The former Yugoslav Republic of Macedonia","Thousand units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"Turkey","Mil. USD","","","","","","","","","","","","","","","","","","","","","39.4467596915123","","","","","","19.1314520119707","","38.3235751872917","","","","","","","","","","","","","","",""
