Data: IRENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
older supplemented by Nemet papers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/20,, PV ,,,,,,, CSP ,,,,,,, Onshore wind ,,,,,,, Offshore wind ,,,,,,
,, Cost $2019/MWh ,,, 2019$/kW ,,, MW , Cost $2019/MWh ,,, 2019$/kW ,,, MW , Cost $2019/MWh ,,, 2019$/kW ,,, MW , Cost $2019/MWh ,,, 2019$/kW ,,, MW 
,, mid , low , high , mid , low , high , cum cap -1 , mid , low , high , mid , low , high , cum cap -1 , mid , low , high , mid , low , high , cum cap -1 , mid , low , high , mid , low , high , cum cap -1 
matlab vars:,year, pv_mwh_md , pv_mwh_lo , pv_mwh_hi , pv_kw_md , pv_kw_lo , pv_kw_hi , pv_cum_mw , csp_mwh_md , csp_mwh_lo , csp_mwh_hi , csp_kw_md , csp_kw_lo , csp_kw_hi , csp_cum_mw , won_mwh_md , won_mwh_lo , won_mwh_hi , won_kw_md , won_kw_lo , won_kw_hi , won_cum_mw , wof_mwh_md , wof_mwh_lo , wof_mwh_hi , wof_kw_md , wof_kw_lo , wof_kw_hi , wof_cum_mw 
,1981,  ,  ,  ,  ,  ,  , 11 ,  ,  ,  ,  ,  ,  ,  ,,,,,,, 10 ,  ,  ,  ,  ,  ,  ,
AR6,2013, 175 , 120 , 366 ," 2,615 "," 1,679 "," 5,278 "," 101,511 ", 268 , 194 , 361 ," 6,419 "," 3,528 "," 9,471 "," 2,567 ", 82 , 57 , 117 ," 1,828 "," 1,203 "," 3,012 "," 261,575 ", 177 , 100 , 277 ," 5,738 "," 2,227 "," 7,841 "," 5,334 "
,2014, 164 , 97 , 367 ," 2,364 "," 1,405 "," 5,174 "," 135,740 ", 243 , 152 , 293 ," 5,510 "," 2,800 "," 7,152 "," 3,842 ", 76 , 59 , 122 ," 1,781 "," 1,217 "," 3,001 "," 292,749 ", 183 , 137 , 214 ," 5,245 "," 2,233 "," 6,485 "," 7,171 "
,2015, 126 , 78 , 290 ," 1,801 "," 1,191 "," 4,041 "," 171,519 ", 251 , 191 , 323 ," 7,361 "," 3,669 "," 8,940 "," 4,499 ", 69 , 48 , 126 ," 1,642 "," 1,191 "," 2,923 "," 340,808 ", 169 , 125 , 227 ," 5,260 "," 3,036 "," 6,416 "," 8,492 "
,2016, 114 , 75 , 266 ," 1,637 "," 1,020 "," 3,229 "," 217,243 ", 290 , 236 , 350 ," 7,737 "," 3,064 "," 11,324 "," 4,750 ", 66 , 47 , 112 ," 1,635 "," 1,217 "," 2,589 "," 404,558 ", 146 , 101 , 173 ," 4,280 "," 2,201 "," 5,226 "," 11,717 "
,2017, 92 , 56 , 228 ," 1,415 ", 827 ," 2,978 "," 290,961 ", 253 , 175 , 289 ," 7,324 "," 3,919 "," 8,889 "," 4,860 ", 64 , 45 , 115 ," 1,628 "," 1,169 "," 2,634 "," 452,485 ", 131 , 108 , 183 ," 4,683 "," 2,775 "," 5,739 "," 14,342 "
,2018, 79 , 52 , 215 ," 1,208 ", 796 ," 2,748 "," 383,598 ", 184 , 106 , 268 ," 5,253 "," 3,451 "," 6,865 "," 4,959 ", 58 , 41 , 100 ," 1,549 "," 1,170 "," 2,385 "," 495,565 ", 127 , 102 , 202 ," 4,245 "," 2,509 "," 5,726 "," 18,837 "
,2019, 68 , 52 , 190 , 995 , 714 ," 2,320 "," 483,078 ", 182 , 144 , 431 ," 5,774 "," 3,741 "," 8,595 "," 5,674 ", 53 , 38 , 107 ," 1,473 "," 1,108 "," 2,449 "," 540,191 ", 115 , 88 , 157 ," 3,800 "," 2,890 "," 5,969 "," 23,629 "
CPI 19/18,2020, 56 , 39 , 161 , 873 , 566 ," 2,319 "," 580,159 ", 107 , 106 , 109 ," 5,052 "," 4,288 "," 4,528 "," 6,275 ", 39 , 28 , 68 ," 1,339 "," 1,038 "," 2,262 "," 594,396 ", 84 , 65 , 188 ," 3,148 "," 2,658 "," 5,526 "," 28,308 "
1.018,2021,,,,,,," 680,159 ",,,,,,," 6,925 ",,,,,,," 660,896 ",,,,,,," 34,808 "
,2022,,,,,,," 780,559 ",,,,,,," 7,625 ",,,,,,," 727,396 ",,,,,,," 44,308 "
,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,," 53,308 "
,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,," 62,308 "
,,,,,,,,,,,,,,,21%,,,,,,,13%,,,,,,,25%
,, 0.307 ,,,,,,, 0.517 ,,,,,,,,,,,,,,,,,,,,
,,-16%,,,,,,,-9%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20 vs'10, 0.85 ,,,,,,,,,,,,,, 0.55 ,,,,,,, 0.48 ,,,,,,
,,56%,,,,,,,,,,,,,,44%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEW 2020 values in 2020 $s,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, 0.989 , 56 , 38.7 , 160.9 , 873 , 566 ," 2,319 "," 126,735 ", 107.1 , 106.0 , 109.5 ," 5,052 "," 4,288 "," 4,528 ",101, 38.8 , 28.5 , 67.9 ," 1,339 "," 1,038 "," 2,262 ",105 015, 83.5 , 64.9 , 188.5 ," 3,148 "," 2,658 "," 5,526 ",6 012
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0391,,, 572,,,,0.107,,,4338,,,,0.029,,,1050,,,,0.066,,,2689,,,
,,0.057,,, 883,,,,0.108,,,5111,,,,0.039,,,1355,,,,0.084,,,3185,,,
,,0.163,,,2 346,,,,0.111,,,4581,,,,0.069,,,2289,,,,0.191,,,5590,,,
