ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Iron Ore_Annual production_RO,2000000.0,1400000.0,1250000.0,904000.0,951000.0,570000.0,670000.0,756000.0,459000.0,131000.0,116000.0,292000.0,248000.0,304000.0,275000.0,265000.0,123000.0,45000.0,,,,,Romania,RO,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_RU,,,82100000.0,76100000.0,73300000.0,78300000.0,72100000.0,70900000.0,72300000.0,81300000.0,86600000.0,82500000.0,84200000.0,91800000.0,97000000.0,96800000.0,102000000.0,105000000.0,99900000.0,92000000.0,95500000.0,100000000.0,Russia,RU,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_CS,,,551000.0,106000.0,32000.0,110000.0,110000.0,110000.0,100000.0,50000.0,50000.0,,,,,,,,,,,,Serbia and Montenegro,CS,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_SK,,,,920000.0,870000.0,500000.0,436000.0,453000.0,479000.0,479000.0,477000.0,435000.0,326000.0,930000.0,653000.0,534000.0,583000.0,570000.0,392000.0,,,,Slovakia,SK,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_ZA,30300000.0,29100000.0,28200000.0,29400000.0,30500000.0,31900000.0,30800000.0,33200000.0,32900000.0,29500000.0,33700000.0,34800000.0,36500000.0,38100000.0,39300000.0,39500000.0,41300000.0,42100000.0,49000000.0,55300000.0,58700000.0,59500000.0,South Africa,ZA,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_ES,3030000.0,3890000.0,2970000.0,2480000.0,2080000.0,2310000.0,1270000.0,,,,,,,,,,,,,,,,Spain,ES,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_SE,19900000.0,19300000.0,19300000.0,18700000.0,19700000.0,19100000.0,21000000.0,21900000.0,20900000.0,18600000.0,20600000.0,19500000.0,20300000.0,21500000.0,22300000.0,23300000.0,23300000.0,24700000.0,23800000.0,17700000.0,25300000.0,25300000.0,Sweden,SE,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_TZ,,,,,,,,91000.0,,,,,,,,,,,,,,,Tanzania,TZ,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_TH,129000.0,240000.0,427000.0,209000.0,143000.0,34000.0,86000.0,44000.0,90700.0,123000.0,,,570000.0,9680.0,136000.0,231000.0,264000.0,1550000.0,2030000.0,1400000.0,970000.0,1000000.0,Thailand,TH,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_TN,291000.0,295000.0,291000.0,299000.0,288000.0,224000.0,239000.0,252000.0,220000.0,219000.0,182000.0,204000.0,198000.0,164000.0,256000.0,206000.0,214000.0,180000.0,211000.0,151000.0,181000.0,175000.0,Tunisia,TN,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_TR,4920000.0,5340000.0,5920000.0,6480000.0,5760000.0,4930000.0,6400000.0,5990000.0,5890000.0,4850000.0,4080000.0,3930000.0,3430000.0,3430000.0,4120000.0,4600000.0,3790000.0,4850000.0,4700000.0,4170000.0,4500000.0,4500000.0,Turkey,TR,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_UG,,,,,,,,,,,,1240.0,,,,,,,,,,,Uganda,UG,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_UA,,,75700000.0,65500000.0,51300000.0,50400000.0,47600000.0,53000000.0,50800000.0,47800000.0,55900000.0,54700000.0,58900000.0,62500000.0,65600000.0,68600000.0,74000000.0,77900000.0,72700000.0,66500000.0,78200000.0,80600000.0,Ukraine,UA,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_SU,236000000.0,199000000.0,,,,,,,,,,,,,,,,,,,,,U.S.S.R.,SU,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_GB,55000.0,59000.0,31000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1190.0,1000.0,1030.0,1000.0,,500.0,500.0,,,,,,,,United Kingdom,GB,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_VE,20100000.0,21200000.0,18100000.0,16900000.0,18300000.0,19000000.0,18500000.0,18500000.0,16600000.0,14100000.0,17400000.0,16900000.0,16700000.0,18000000.0,19200000.0,21200000.0,22100000.0,20700000.0,20700000.0,17000000.0,17000000.0,17000000.0,Venezuela,VE,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_VN,,,,,,,,,,300000.0,300000.0,400000.0,430000.0,1080000.0,990000.0,1010000.0,1020000.0,1060000.0,1000000.0,1000000.0,1000000.0,1000000.0,Vietnam,VN,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_YU,4130000.0,2570000.0,,,,,,,,,,,,,,,,,,,,,Yugoslavia,YU,National,USGS,metric tons,Annual production,Iron Ore
Iron Ore_Annual production_ZW,1260000.0,1140000.0,1180000.0,375000.0,4000.0,311000.0,324000.0,479000.0,372000.0,599000.0,451000.0,361000.0,272000.0,367000.0,283000.0,377000.0,104000.0,100000.0,50000.0,,,,Zimbabwe,ZW,National,USGS,metric tons,Annual production,Iron Ore
