ID,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Unit,Metric,Spatial Scale,Technology Name,Data Source,Country Name,Country Code
Soybean Production_Price_GE,,,,,,,,,,,,,,,,391.12481940144477,588.9965428276574,569.4281475748194,579.3946594427244,540.1363261093911,,,,,,,,,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Georgia,GE
Soybean Production_Price_DE,,,,,,,,,,,,,,,,,,,,,,,,,,,446.18372033023735,466.4813725490196,442.9020639834881,491.27610939112486,786.260552115583,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Germany,DE
Soybean Production_Price_HU,265.6926212590299,252.2013673890609,244.54416924664602,377.6335655314757,288.90730134158923,444.2390350877193,375.32425180598557,356.1204850361197,232.63297213622292,215.13080495356036,278.3330753353973,295.22752837977293,342.5076883384933,376.2965944272446,322.57466460268313,299.4815273477812,451.7746904024768,531.9929566563467,445.08983488132094,513.76153250774,579.6377450980392,699.9651444788441,691.3356037151702,563.4725490196079,444.36057791537667,454.5701754385965,493.34233746130025,484.95588235294116,433.4217234262126,484.591253869969,690.6063467492261,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Hungary,HU
Soybean Production_Price_IN,,,,,,,,234.21302889576882,238.58857069143448,233.96994324045406,228.0143446852425,221.32948916408668,242.59948400412796,268.2450206398349,278.3330753353973,273.59290505675955,315.76826625386997,388.32933436532505,,,,,,,,,,,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,India,IN
Soybean Production_Price_ID,575.7483746130031,535.1530701754386,576.9638028895769,624.0008771929824,611.7250515995872,639.1937306501547,571.3728328173374,297.90147058823527,403.5221878224974,327.31483488132096,315.40363777089783,405.953044375645,464.5366873065015,475.84017027863774,487.6298245614035,495.0439370485036,571.7374613003095,778.4818111455108,770.7030701754386,897.4722394220846,1005.1591847265222,972.9503353973168,897.4722394220846,852.8660216718266,755.8748452012384,756.6041021671826,704.8268575851392,704.097600619195,695.4680598555212,747.9745614035087,791.2438080495356,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Indonesia,ID
Soybean Production_Price_IR,599.0845975232198,495.40856553147574,529.6836429308565,464.4151444788442,395.25727554179565,565.4172342621259,478.8787409700722,429.6538957688338,422.2397832817337,381.0367647058823,372.77185242518055,395.37881836945303,344.81700206398347,343.1154024767802,352.1095717234262,385.8984778121775,572.1020897832817,529.197471620227,624.7301341589267,642.3538441692466,648.3094427244581,1023.755237358101,1075.8971104231166,791.7299793601651,783.9512383900928,865.506475748194,843.8718524251806,727.9199948400412,828.557456140351,3321.0362229102166,3466.4014447884415,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Iran (Islamic Republic of),IR
Soybean Production_Price_IT,607.4710526315789,276.99610423116616,271.89130546955624,278.9407894736842,284.1671310629515,361.9545407636739,313.8235810113519,297.5368421052632,222.78800309597523,,,256.33382352941175,360.25294117647053,312.97278121775025,266.17879256965944,260.22319401444787,354.66197110423116,,,,,,,,,,,,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Italy,IT
Soybean Production_Price_JP,2159.451418988648,2303.236584107327,2767.1655572755417,2846.0468524251805,3088.2817079463366,2659.2355263157897,2559.9350361197107,2328.15286377709,2628.4851909184727,2706.8803147574818,2210.2563209494324,1958.0549535603714,2166.6224458204333,3177.3726006191946,3400.16060371517,2518.610474716202,2201.991408668731,1871.5164602683178,2004.4843137254902,1811.1096749226006,1947.3591847265222,1565.714705882353,1343.1697884416924,1870.7872033023737,1561.2176212590298,1618.099664602683,1368.4506965944274,1267.0839783281733,1437.0008513931887,1688.351418988648,1599.2605263157893,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Japan,JP
Soybean Production_Price_KZ,,,,,,,,,,,,,,,,294.9844427244582,313.09432404540763,391.9756191950464,373.37956656346745,380.4290505675954,420.65972652218784,452.50394736842105,561.4063209494324,475.84017027863774,373.6226522187822,267.5157636738906,362.19762641898865,344.33083075335395,430.018524251806,427.466124871001,475.59708462332304,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Kazakhstan,KZ
Soybean Production_Price_LA,,,,,,1064.2289989680082,1034.0863777089783,990.2094169246647,575.0191176470588,351.380314757482,431.11240970072237,394.04184726522186,,,,,,,,,940.255314757482,1051.3454592363262,1166.4465170278638,,,,,,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Lao People's Democratic Republic,LA
Soybean Production_Price_MW,,,,,,862.5894478844169,752.1070175438596,503.7950206398349,,574.776031991744,599.2061403508771,745.5437048503611,595.316769865841,554.8430082559339,667.1485810113519,714.9149122807017,677.3581785345716,916.7975490196078,1171.9159442724458,930.8965170278638,1082.3388802889576,1102.5149896800826,819.4417440660475,774.713983488132,777.2663828689371,727.6769091847266,655.8450980392157,,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Malawi,MW
Soybean Production_Price_MX,510.6014189886481,401.3344169246646,388.2077915376677,308.5972394220846,279.0623323013416,340.19837461300307,342.14305985552113,304.1001547987616,313.3374097007224,231.78217234262124,240.29017027863776,255.72610939112488,337.7675180598555,292.7966718266254,256.090737874097,290.7304437564499,405.10224458204334,497.2317079463364,443.26669246646026,526.6450722394221,614.6420794633642,650.8618421052631,600.1784829721362,494.19313725490196,444.8467492260062,444.2390350877193,450.4377192982456,429.16772445820436,432.4493808049536,447.1560629514963,567.6050051599588,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Mexico,MX
Soybean Production_Price_MA,516.5570175438596,526.7666150670794,483.61891124871,422.60441176470584,455.42097523219815,446.18372033023735,408.26235810113513,404.98070175438596,,,,,,,,,,,,,,,,,,,,,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Morocco,MA
Soybean Production_Price_NP,,,,,,,433.9078947368421,426.1291537667699,451.531604747162,443.99594943240453,432.4493808049536,446.18372033023735,491.0330237358101,511.209133126935,526.0373581011352,551.5613519091847,634.2104747162022,636.1551599587203,732.2955366357069,882.4009287925696,968.210165118679,995.4357585139319,930.0457172342622,1020.5951238390094,1118.072471620227,1107.6197884416924,1177.0207430340556,1439.0670794633643,916.9190918472651,860.5232198142414,944.0231424148607,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Nepal,NP
Soybean Production_Price_NI,,,,,292.5535861713106,295.9567853457172,282.8301599587203,295.59215686274507,282.4655314757482,274.9298761609907,270.06816305469556,235.6715428276574,223.03108875128999,248.06891124871,255.72610939112488,339.5906604747162,276.8745614035088,269.2173632610939,259.0077657378741,375.5673374613003,536.6115841073271,571.859004127967,,,,,,,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Nicaragua,NI
Soybean Production_Price_NG,485.6851393188855,370.58408152734773,756.8471878224974,433.7863519091847,372.65030959752323,490.4253095975232,435.0017801857585,483.4973684210526,524.0926728586171,407.7761867905057,528.7113003095975,481.3095975232198,494.19313725490196,579.2731166150671,646.000128998968,632.8735036119712,638.7075593395252,875.3514447884418,,516.678560371517,529.3190144478845,543.6610681114552,540.8655830753354,,,,,,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,Nigeria,NG
Soybean Production_Price_MK,,,,,,,,,,,,,,,,,522.2695304437565,691.4571465428276,,631.4149896800825,,989.8447884416925,,,,,,,,,,2022 USD/tonne,Price,National,Soybean Production,FAOSTAT,North Macedonia,MK
