Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Data Source,Technology Name,Spatial Scale,Metric,Unit,Country Code,ID
Portugal,,,,,,,,,,92000.0,94000.0,96000.0,98000.0,100000.0,102000.0,103000.0,107000.0,113000.0,119000.0,125000.0,133000.0,143000.0,160000.0,178000.0,192000.0,216000.0,241000.0,272000.0,301000.0,324000.0,346000.0,368000.0,387000.0,,,,,,,,,,,,,,,,,,,,,Eurostat,Motorcycles,National,Total Number,-,PT,Motorcycles_Total Number_PT
Romania,250000.0,,,,,307000.0,,,,,368000.0,,,,,347000.0,,,,,105440.0,108006.0,108737.0,113651.0,121205.0,122692.0,122527.0,123913.0,121335.0,121547.0,117155.0,103100.0,100600.0,,104500.0,94000.0,26000.0,27000.0,66000.0,74000.0,79000.0,84000.0,89000.0,95057.0,100695.0,106187.0,112825.0,120512.0,129657.0,141608.0,155312.0,169095.0,185038.0,Eurostat,Motorcycles,National,Total Number,-,RO,Motorcycles_Total Number_RO
Slovenia,,,,,,,,,,,,,,,,,,,,,15842.0,14344.0,11000.0,9967.0,8786.0,8430.0,8022.0,8342.0,9213.0,10000.0,11000.0,12000.0,11200.0,12000.0,12000.0,14000.0,19000.0,34000.0,41610.0,46185.0,48690.0,49880.0,51000.0,51936.0,54631.0,58083.0,61131.0,64330.0,67145.0,70329.0,72607.0,75603.0,81172.0,Eurostat,Motorcycles,National,Total Number,-,SI,Motorcycles_Total Number_SI
Slovakia,,,,,,,,,,,,,,,,,,,,,45647.0,282754.0,84258.0,81263.0,80473.0,81847.0,79479.0,81062.0,100891.0,44000.0,46000.0,46700.0,47900.0,48700.0,52000.0,56400.0,58100.0,63900.0,70300.0,55400.0,59600.0,63900.0,68100.0,74100.0,80800.0,88652.0,95267.0,102810.0,110141.0,117104.0,123853.0,131316.0,139157.0,Eurostat,Motorcycles,National,Total Number,-,SK,Motorcycles_Total Number_SK
Finland,,,,,,,,,,,,,,,,,,,,56000.0,60000.0,62000.0,64000.0,64000.0,64000.0,65000.0,66000.0,69000.0,73000.0,80000.0,91000.0,103000.0,116000.0,130000.0,143000.0,156000.0,172000.0,188000.0,204000.0,216000.0,227000.0,237000.0,245000.0,252000.0,257094.0,260112.0,264186.0,267898.0,272168.0,276623.0,281277.0,285669.0,290233.0,Eurostat,Motorcycles,National,Total Number,-,FI,Motorcycles_Total Number_FI
Sweden,45000.0,45000.0,44000.0,47000.0,50000.0,50000.0,49000.0,46000.0,46000.0,47000.0,54000.0,69000.0,86000.0,100000.0,108000.0,105000.0,104000.0,101000.0,100000.0,98000.0,41000.0,45000.0,48000.0,52000.0,57000.0,63000.0,76000.0,91000.0,101000.0,119870.0,139920.0,158620.0,174510.0,187850.0,205570.0,225040.0,245040.0,259020.0,269300.0,277626.0,277745.0,280562.0,283942.0,284969.0,288629.0,292368.0,298484.0,299505.0,300356.0,302183.0,310086.0,312987.0,313889.0,Eurostat,Motorcycles,National,Total Number,-,SE,Motorcycles_Total Number_SE
Iceland,,,,,,,,,,,,,,,,,,,,1000.0,2000.0,1000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,3000.0,3000.0,3000.0,3000.0,3000.0,4000.0,,,,,,,,,,,,8230.0,10832.0,10276.0,10144.0,10185.0,,Eurostat,Motorcycles,National,Total Number,-,IS,Motorcycles_Total Number_IS
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,1660.0,1780.0,1900.0,2060.0,2130.0,2220.0,2310.0,2402.0,2562.0,2667.0,2825.0,2880.0,3120.0,3250.0,3420.0,3490.0,3570.0,3650.0,3800.0,3914.0,4100.0,4218.0,4308.0,4321.0,4432.0,4583.0,4569.0,Eurostat,Motorcycles,National,Total Number,-,LI,Motorcycles_Total Number_LI
Norway,39000.0,,,,,15000.0,,,,,16000.0,,,,,21000.0,,,29000.0,30000.0,30000.0,31000.0,33000.0,36000.0,39000.0,43000.0,51000.0,61000.0,70000.0,78000.0,86000.0,,,,104000.0,109000.0,117000.0,126000.0,135000.0,141000.0,147000.0,152000.0,157000.0,161823.0,167649.0,176000.0,184010.0,190059.0,192536.0,198472.0,219735.0,227214.0,220045.0,Eurostat,Motorcycles,National,Total Number,-,NO,Motorcycles_Total Number_NO
Switzerland,,,,,,,,,,,,,,,,,,,,262000.0,299000.0,320000.0,336000.0,348000.0,357000.0,371000.0,382000.0,411000.0,435000.0,464000.0,494000.0,521000.0,545000.0,567000.0,583000.0,592000.0,609000.0,619000.0,637000.0,637000.0,651000.0,666000.0,680000.0,687990.0,699219.0,710022.0,720381.0,729149.0,739344.0,744542.0,771586.0,791323.0,789794.0,Eurostat,Motorcycles,National,Total Number,-,CH,Motorcycles_Total Number_CH
United Kingdom,,,,,,,,,,873000.0,1029000.0,1028000.0,1009000.0,976000.0,939000.0,878000.0,822000.0,764000.0,734000.0,725000.0,712000.0,695000.0,659000.0,644000.0,635000.0,627000.0,672000.0,758000.0,820000.0,903000.0,968000.0,1026000.0,1112000.0,1181000.0,1109148.0,1106000.0,,,1201000.0,1191000.0,1153000.0,1158000.0,1146000.0,1145000.0,,1167000.0,1189631.0,1180469.0,1193841.0,,,1269666.0,1293436.0,Eurostat,Motorcycles,National,Total Number,-,GB,Motorcycles_Total Number_GB
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7883.0,7835.0,8234.0,8607.0,9615.0,10552.0,11304.0,11688.0,13131.0,15529.0,Eurostat,Motorcycles,National,Total Number,-,BA,Motorcycles_Total Number_BA
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4363.0,4744.0,5655.0,6300.0,5765.0,6261.0,7165.0,Eurostat,Motorcycles,National,Total Number,-,ME,Motorcycles_Total Number_ME
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30875.0,32096.0,33260.0,34571.0,36493.0,39646.0,35213.0,38774.0,42652.0,Eurostat,Motorcycles,National,Total Number,-,MD,Motorcycles_Total Number_MD
North Macedonia,,,,,,,,,,,,,,,,,,,,,1868.0,1827.0,2745.0,3003.0,1451.0,2305.0,2703.0,3439.0,3566.0,4000.0,4000.0,4000.0,3000.0,,,1700.0,3400.0,4400.0,8630.0,9100.0,7760.0,8370.0,8470.0,8093.0,8634.0,10050.0,11697.0,14152.0,13343.0,11999.0,12794.0,15786.0,18775.0,Eurostat,Motorcycles,National,Total Number,-,MK,Motorcycles_Total Number_MK
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15418.0,15146.0,2275.0,Eurostat,Motorcycles,National,Total Number,-,AL,Motorcycles_Total Number_AL
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41596.0,40695.0,39515.0,41535.0,45027.0,53440.0,Eurostat,Motorcycles,National,Total Number,-,RS,Motorcycles_Total Number_RS
Türkiye,,,,,,,,,,,,,,,,,,,,,531941.0,590488.0,655347.0,743320.0,788786.0,819922.0,854150.0,905121.0,940935.0,975746.0,1011280.0,1031220.0,1046910.0,1073000.0,1219000.0,1441000.0,1823000.0,2004000.0,2181000.0,2303000.0,1773754.0,1845100.0,1824110.0,2182912.0,2303040.0,2416724.0,2487708.0,2575117.0,2642807.0,2706130.0,2789783.0,2908847.0,3099336.0,Eurostat,Motorcycles,National,Total Number,-,TR,Motorcycles_Total Number_TR
Kosovo*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240.0,1673.0,1954.0,,2827.0,,Eurostat,Motorcycles,National,Total Number,-,XK,Motorcycles_Total Number_XK
