ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Copper|Mining_Annual production_MK,,,7200.0,7220.0,7140.0,8560.0,8480.0,13000.0,9100.0,10200.0,6000.0,9000.0,5600.0,2570.0,,,7000.0,7400.0,8400.0,7600.0,7900.0,7900.0,Macedonia,MK,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_MY,24300.0,25600.0,28600.0,25200.0,25300.0,20800.0,20200.0,18800.0,13900.0,4600.0,,,,,,,,,,,,,Malaysia,MY,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_MR,,,,,,,,,,,,,,,,,5030.0,32000.0,33100.0,35000.0,37000.0,35300.0,Mauritania,MR,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_MX,294000.0,292000.0,279000.0,301000.0,295000.0,334000.0,341000.0,391000.0,385000.0,381000.0,365000.0,371000.0,330000.0,356000.0,406000.0,429000.0,328000.0,336000.0,269000.0,228000.0,270000.0,444000.0,Mexico,MX,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_MN,124000.0,90100.0,105000.0,96900.0,120000.0,122000.0,123000.0,124000.0,125000.0,127000.0,125000.0,134000.0,132000.0,132000.0,132000.0,127000.0,130000.0,130000.0,127000.0,130000.0,125000.0,122000.0,Mongolia,MN,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_MA,16400.0,15800.0,14300.0,13000.0,13000.0,13600.0,14600.0,15400.0,8200.0,7750.0,7080.0,5400.0,5000.0,4900.0,4400.0,3800.0,4600.0,5570.0,5600.0,11800.0,11200.0,12000.0,Morocco,MA,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_MZ,28.0,,,,,,,,,,,,,,,,,,,,,,Mozambique,MZ,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_NA,27800.0,31700.0,31300.0,29500.0,26600.0,22500.0,14800.0,17900.0,7500.0,,5620.0,12400.0,18000.0,16200.0,11200.0,10900.0,6260.0,6580.0,7470.0,,,3600.0,Namibia,NA,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_NP,3.0,4.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,Nepal,NP,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_NO,19700.0,17400.0,12700.0,8700.0,7410.0,6800.0,7400.0,6670.0,2700.0,,,,,,,,,,,,,,Norway,NO,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_OM,14000.0,14000.0,13600.0,8800.0,4300.0,,,,,,,,,,,,,,,,,,Oman,OM,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_PK,,,,,,,,,,,,,,3200.0,15000.0,17700.0,19100.0,18800.0,18700.0,18500.0,18000.0,19000.0,Pakistan,PK,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_PG,170000.0,204000.0,193000.0,204000.0,209000.0,213000.0,187000.0,112000.0,152000.0,188000.0,201000.0,218000.0,204000.0,202000.0,173000.0,193000.0,194000.0,169000.0,160000.0,167000.0,160000.0,130000.0,Papua New Guinea,PG,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_PE,339000.0,357000.0,346000.0,355000.0,396000.0,410000.0,484000.0,506000.0,483000.0,536000.0,554000.0,722000.0,845000.0,863000.0,1040000.0,1010000.0,1050000.0,1190000.0,1270000.0,1280000.0,1250000.0,1240000.0,Peru,PE,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_PH,182000.0,148000.0,124000.0,136000.0,116000.0,108000.0,61600.0,48600.0,45400.0,34600.0,30600.0,20300.0,18400.0,20400.0,16000.0,16300.0,17200.0,22900.0,21200.0,49100.0,58400.0,63700.0,Philippines,PH,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_PL,330000.0,320000.0,332000.0,383000.0,378000.0,384000.0,422000.0,415000.0,436000.0,463000.0,454000.0,474000.0,503000.0,505000.0,531000.0,512000.0,497000.0,452000.0,429000.0,439000.0,425000.0,427000.0,Poland,PL,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_PT,163000.0,159000.0,152000.0,154000.0,134000.0,134000.0,110000.0,106000.0,115000.0,99500.0,76200.0,82900.0,77200.0,77600.0,95700.0,89500.0,78700.0,90200.0,89500.0,86500.0,74400.0,82200.0,Portugal,PT,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_RO,32000.0,26400.0,24700.0,25300.0,26000.0,24500.0,24400.0,23200.0,19100.0,16800.0,16100.0,19200.0,19000.0,23400.0,18800.0,15000.0,12100.0,2210.0,2000.0,1000.0,1000.0,1000.0,Romania,RO,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_RU,,,699000.0,584000.0,573000.0,525000.0,523000.0,505000.0,500000.0,530000.0,570000.0,600000.0,695000.0,675000.0,675000.0,700000.0,725000.0,740000.0,750000.0,676000.0,703000.0,713000.0,Russia,RU,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_SA,900.0,900.0,868.0,925.0,917.0,925.0,834.0,703.0,782.0,821.0,900.0,800.0,800.0,800.0,652.0,668.0,730.0,750.0,1470.0,1720.0,1600.0,1600.0,Saudi Arabia,SA,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_RS,,,,,,,,,,,,,,,,,12000.0,16500.0,18800.0,19000.0,19000.0,29300.0,Serbia,RS,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_CS,,,97800.0,68000.0,65000.0,74600.0,69500.0,73600.0,70900.0,51700.0,86100.0,31000.0,36900.0,26400.0,12000.0,12900.0,,,,,,,Serbia and Montenegro,CS,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_SK,,,,500.0,,,386.0,314.0,155.0,124.0,,,,,,,,,,,,,Slovakia,SK,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_ZA,179000.0,185000.0,176000.0,166000.0,160000.0,162000.0,153000.0,153000.0,166000.0,144000.0,137000.0,142000.0,130000.0,89500.0,87000.0,88600.0,89500.0,97000.0,109000.0,108000.0,103000.0,96600.0,South Africa,ZA,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_ES,10900.0,8320.0,9430.0,6690.0,4940.0,22600.0,37500.0,37900.0,37000.0,1740.0,23300.0,9700.0,,643.0,1450.0,4890.0,6620.0,6510.0,7070.0,21000.0,54300.0,68400.0,Spain,ES,National,USGS,metric tons,Annual production,Copper|Mining
Copper|Mining_Annual production_SE,74300.0,81700.0,89100.0,88900.0,79400.0,83600.0,71700.0,86600.0,73700.0,71200.0,77800.0,74300.0,76200.0,96000.0,90600.0,97800.0,86800.0,62800.0,57200.0,54600.0,76000.0,81200.0,Sweden,SE,National,USGS,metric tons,Annual production,Copper|Mining
