ID,Country Name,Technology Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Country Code,Unit,Data Source,Spatial Scale,Metric
Potash Fertilizer_Annual Production_BZ,Belize,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,BZ,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_BJ,Benin,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BJ,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_BJ,Benin,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BJ,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_BJ,Benin,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BJ,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_BM,Bermuda,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,BM,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_BM,Bermuda,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,BM,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_BM,Bermuda,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,BM,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_BT,Bhutan,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,BT,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_BT,Bhutan,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,BT,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_BT,Bhutan,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,BT,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_BO,Bolivia (Plurinational State of),Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87011.76,133065.84,0,BO,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_BO,Bolivia (Plurinational State of),Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,BO,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_BO,Bolivia (Plurinational State of),Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,16494.49,16494.49,BO,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_BA,Bosnia and Herzegovina,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44310,31717,84343.2,63279.65,48908.35,67363.94,77600.85,43843.48,49908.7,47811.14,47811.14,30460.65,BA,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_BA,Bosnia and Herzegovina,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,0.35,0,0,38.42,0,0,0,0,BA,metric tons,FAOSTAT,National,Annual Production
Potash Fertilizer_Annual Production_BA,Bosnia and Herzegovina,Potash Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,0.35,0,0,0,0,0,0,0,BA,metric tons,FAOSTAT,National,Annual Production
Nitrogen Fertilizer_Annual Production_BW,Botswana,Nitrogen Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,BW,metric tons,FAOSTAT,National,Annual Production
Phosphate Fertilizer_Annual Production_BW,Botswana,Phosphate Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,BW,metric tons,FAOSTAT,National,Annual Production
