ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Name,Country Code,Spatial Scale,Data Source,Unit,Metric,Technology Name
Copper|Refining_Annual production_TR,84200.0,80800.0,104000.0,92400.0,82700.0,100000.0,101000.0,111000.0,91800.0,60500.0,64100.0,58400.0,41000.0,50000.0,69000.0,95000.0,106000.0,99600.0,88000.0,34000.0,55000.0,85000.0,Turkey,TR,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_UA,,,,,,,,,,,,,10.0,20.0,20.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,Ukraine,UA,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_SU,1230000.0,1070000.0,,,,,,,,,,,,,,,,,,,,,U.S.S.R.,SU,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_GB,122000.0,70100.0,42100.0,46600.0,46700.0,78500.0,56600.0,60400.0,52000.0,50000.0,3.0,,,,,,,,,,,,United Kingdom,GB,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_US,2020000.0,2000000.0,2140000.0,2250000.0,2230000.0,2280000.0,2350000.0,2470000.0,2490000.0,2120000.0,1800000.0,1800000.0,1510000.0,1310000.0,1310000.0,1260000.0,1250000.0,1320000.0,1270000.0,1160000.0,1100000.0,1030000.0,United States,US,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_UZ,,,80000.0,75000.0,90000.0,95000.0,100000.0,110000.0,94900.0,70000.0,85000.0,90000.0,75000.0,75000.0,93800.0,104000.0,92300.0,89700.0,71000.0,80000.0,90000.0,90000.0,Uzbekistan,UZ,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_VN,,,,,,,,,,,,,,,,,,11000.0,2200.0,6000.0,8000.0,8000.0,Vietnam,VN,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_YU,151000.0,134000.0,,,,,,,,,,,,,,,,,,,,,Yugoslavia,YU,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_ZM,438000.0,402000.0,472000.0,412000.0,352000.0,328000.0,334000.0,332000.0,330000.0,319000.0,277000.0,297000.0,337000.0,350000.0,410000.0,399000.0,418000.0,430000.0,415000.0,414000.0,530000.0,516000.0,Zambia,ZM,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_ZW,22500.0,22000.0,17900.0,16400.0,15400.0,13100.0,20100.0,7890.0,5340.0,8020.0,7200.0,5300.0,7200.0,7200.0,7000.0,7000.0,7000.0,6800.0,3070.0,3000.0,5000.0,5000.0,Zimbabwe,ZW,National,USGS,metric tons,Annual production,Copper|Refining
Copper|Refining_Annual production_World,10800000.0,10700000.0,11200000.0,11300000.0,11200000.0,11900000.0,12700000.0,13500000.0,14100000.0,14600000.0,14900000.0,15700000.0,15600000.0,15300000.0,15900000.0,16600000.0,17300000.0,17900000.0,18300000.0,18300000.0,19100000.0,19700000.0,World,World,Global,USGS,metric tons,Annual production,Copper|Refining
