Country Name,Technology Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Data Source,Unit,Metric,Country Code,Spatial Scale,ID
Benin,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,15.0,14.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,350.0,415.0,178.0,213.0,308.0,364.0,400.0,500.0,667.0,1425.0,4459.66,4207.0,4529.66,5114.14,5742.45,2986.91,,World Bank,metric tons,Annual production,BJ,National,Aquaculture Production_Annual production_BJ
Bhutan,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,12.0,31.0,35.0,35.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,40.0,40.0,40.0,40.0,46.0,46.0,46.0,75.0,78.34,69.8,139.0,149.0,185.0,222.0,223.62,209.27,181.0,,World Bank,metric tons,Annual production,BT,National,Aquaculture Production_Annual production_BT
Bolivia,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,95.0,348.0,515.0,200.0,266.0,649.0,617.0,616.0,380.0,387.0,385.0,398.0,405.0,320.0,418.0,375.0,450.0,430.0,455.0,585.0,631.0,775.0,856.0,966.0,1060.0,1076.0,1400.0,3167.5,3430.0,3680.0,3750.0,3825.0,3720.0,,World Bank,metric tons,Annual production,BO,National,Aquaculture Production_Annual production_BO
Bosnia and Herzegovina,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4685.0,6635.0,6394.0,7070.0,7621.0,7442.0,7589.0,7620.0,7620.0,4970.2,3638.3,2923.5,3397.0,4450.6,4563.6,3760.4,3638.8,3957.4,3775.8,,World Bank,metric tons,Annual production,BA,National,Aquaculture Production_Annual production_BA
Botswana,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,20.0,25.0,35.0,146.0,,World Bank,metric tons,Annual production,BW,National,Aquaculture Production_Annual production_BW
Brazil,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,27.0,50.0,93.0,158.0,286.0,433.0,780.0,1132.0,1687.0,3737.0,5794.0,7586.0,9168.0,10700.0,10873.0,10990.0,13140.0,15559.0,18170.0,20490.0,23390.0,29820.0,30390.0,30915.0,46202.0,77690.0,87676.0,103915.0,140657.0,172450.0,205568.0,247678.0,273268.0,269699.0,257784.0,271697.0,289048.0,331553.0,365127.0,411777.0,436084.0,480880.0,477634.46,564221.57,578372.92,542982.01,565196.44,581637.72,600300.1,630200.2,,World Bank,metric tons,Annual production,BR,National,Aquaculture Production_Annual production_BR
British Virgin Islands,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,,World Bank,metric tons,Annual production,VG,National,Aquaculture Production_Annual production_VG
Brunei Darussalam,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,6.0,1.0,17.0,36.0,72.0,103.0,119.0,157.0,172.0,194.0,113.0,99.0,157.0,160.0,709.0,454.0,475.0,622.0,473.0,433.0,499.98,530.0,550.0,560.85,711.07,983.14,947.63,1632.0,1245.99,933.18,3500.03,,World Bank,metric tons,Annual production,BN,National,Aquaculture Production_Annual production_BN
Bulgaria,Aquaculture Production,900.0,900.0,1000.0,800.0,4100.0,5100.0,4400.0,6800.0,5900.0,5800.0,5600.0,5300.0,4600.0,4900.0,5800.0,6188.0,6250.0,8134.0,7767.0,10042.0,11500.0,12720.0,14636.0,12919.0,14571.0,10560.0,12138.0,12647.0,12141.0,11615.0,7849.0,7798.0,8132.0,7897.0,6100.0,4615.0,4727.0,5437.0,4252.0,7780.0,3654.0,2938.0,2308.0,4465.0,2489.0,3145.0,3257.0,4032.0,5157.0,6722.52,7920.63,5527.15,5975.06,12151.65,11171.79,13536.54,15762.16,15752.14,16341.82,16513.59,15051.79,,World Bank,metric tons,Annual production,BG,National,Aquaculture Production_Annual production_BG
Burkina Faso,Aquaculture Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,74.0,33.0,30.0,26.0,7.0,6.0,6.0,5.0,5.0,0.0,0.0,0.0,30.0,45.0,40.0,25.0,5.0,5.0,5.0,5.0,5.0,65.0,250.0,348.0,475.0,275.0,280.0,300.0,302.0,320.0,301.0,280.0,440.0,512.0,548.0,580.0,651.0,,World Bank,metric tons,Annual production,BF,National,Aquaculture Production_Annual production_BF
